taxa_raw,taxa_trimmed,taxa_replacement,taxa_removed,taxa_clean,rank,authority,authority_id,score,difference
Western Wood-Pewee,,,,Western Wood-Pewee,Common,ITIS,178360,Western Wood-Pewee,
Unidentified Waterfowl,,,,,,,,,
House Wren,,,,House Wren,Common,ITIS,178541,House Wren,
Unidentified Hawk,,,,,,,,,
Unidentified Egret,,,,,,,,,
Merlin,,,,Merlin,Common,ITIS,175613,Merlin,
Blue-gray Gnatcatcher,,,,Blue-gray Gnatcatcher,Common,ITIS,179853,Blue-gray Gnatcatcher,
Unidentified Wren,,,,,,,,,
Unidentified Wader,,,,,,,,,
Gadwall,,,,Gadwall,Common,ITIS,175073,Gadwall,
Greater Yellowlegs,,,,Greater Yellowlegs,Common,ITIS,176619,Greater Yellowlegs,
Sora,,,,,,,,,
Brown Pelican,,,,Brown Pelican,Common,ITIS,174685,Brown Pelican,
Lincoln's Sparrow,,,,Lincoln's Sparrow,Common,ITIS,179484,Lincoln's Sparrow,
American Pipit,,,,American Pipit,Common,ITIS,554127,American Pipit,
Black-throated Sparrow,,,,Black-throated Sparrow,Common,ITIS,179395,Black-throated Sparrow,
Spotted Sandpiper,,,,Spotted Sandpiper,Common,ITIS,726049,Spotted Sandpiper,
Costa's Hummingbird,,,,Costa's Hummingbird,Common,ITIS,178035,Costa's Hummingbird,
Unidentified Thrasher,,,,,,,,,
Cassin's Vireo,,,,Cassin's Vireo,Common,ITIS,554456,Cassin's Vireo,
Unidentified Heron,,,,,,,,,
Chipping Sparrow,,,,Chipping Sparrow,Common,ITIS,179435,Chipping Sparrow,
Unidentified Dowitcher,,,,,,,,,
Unidentified Myiarchus Flycatcher,,,,,,,,,
Barn Swallow,,,,Barn Swallow,Common,ITIS,178448,Barn Swallow,
Barn Owl,,,,,,,,,
Common Nighthawk,,,,Common Nighthawk,Common,ITIS,177979,Common Nighthawk,
Yellow-breasted Chat,,,,Yellow-breasted Chat,Common,ITIS,178964,Yellow-breasted Chat,
Unidentified Sandpiper,,,,,,,,,
Unidentified Shorebird,,,,,,,,,
Western Meadowlark,,,,Western Meadowlark,Common,ITIS,179039,Western Meadowlark,
Hermit Warbler,,,,Hermit Warbler,Common,ITIS,950059,Hermit Warbler,
Unidentified Accipiter Hawk,,,,,,,,,
Horned Lark,,,,Horned Lark,Common,ITIS,554256,Horned Lark,
Clay-colored Sparrow,,,,Clay-colored Sparrow,Common,ITIS,179439,Clay-colored Sparrow,
Cinnamon Teal,,,,Cinnamon Teal,Common,ITIS,175089,Cinnamon Teal,
Western Bluebird,,,,Western Bluebird,Common,ITIS,179806,Western Bluebird,
Lark Bunting,,,,Lark Bunting,Common,ITIS,179312,Lark Bunting,
Yellow-headed Blackbird,,,,,,,,,
Savannah Sparrow,,,,Savannah Sparrow,Common,ITIS,179314,Savannah Sparrow,
Lazuli Bunting,,,,Lazuli Bunting,Common,ITIS,179151,Lazuli Bunting,
Bank Swallow,,,,Bank Swallow,Common,ITIS,178436,Bank Swallow,
Unidentified House Sparrow or Finch,,,,,,,,,
Summer Tanager,,,,Summer Tanager,Common,ITIS,179888,Summer Tanager,
Yellow-billed Cuckoo,,,,Yellow-billed Cuckoo,Common,ITIS,177831,Yellow-billed Cuckoo,
Spotted Towhee,,,,Spotted Towhee,Common,ITIS,554380,Spotted Towhee,
White-throated Swift,,,,White-throated Swift,Common,ITIS,178014,White-throated Swift,
Plumbeous Vireo,,,,Plumbeous Vireo,Common,ITIS,554477,Plumbeous Vireo,
American Robin,,,,American Robin,Common,ITIS,179759,American Robin,
Common Merganser,,,,Common Merganser,Common,ITIS,175185,Common Merganser,
Unidentified Cowbird,,,,,,,,,
Long-billed Dowitcher,,,,Long-billed Dowitcher,Common,ITIS,176679,Long-billed Dowitcher,
Western Sandpiper,,,,Western Sandpiper,Common,ITIS,176668,Western Sandpiper,
Western Tanager,,,,Western Tanager,Common,ITIS,179882,Western Tanager,
Broad-tailed Hummingbird,,,,Broad-tailed Hummingbird,Common,ITIS,178038,Broad-tailed Hummingbird,
Black-headed Grosbeak,,,,Black-headed Grosbeak,Common,ITIS,179140,Black-headed Grosbeak,
Pacific Slope Flycatcher,,,,,,,,,
Gray Flycatcher,,,,Gray Flycatcher,Common,ITIS,178347,Gray Flycatcher,
Ring-billed Gull,,,,Ring-billed Gull,Common,ITIS,176830,Ring-billed Gull,
American Green-winged Teal,,,,,,,,,
Harris's Hawk,,,,Harris's Hawk,Common,ITIS,175397,Harris's Hawk,
Audubon's Warbler,,,,Audubon's Warbler,Common,ITIS,950047,Audubon's Warbler,
Least Sandpiper,,,,Least Sandpiper,Common,ITIS,176656,Least Sandpiper,
MacGillivray's Warbler,,,,MacGillivray's Warbler,Common,ITIS,950023,MacGillivray's Warbler,
Snow Goose,,,,Snow Goose,Common,ITIS,175038,Snow Goose,
Prairie Falcon,,,,Prairie Falcon,Common,ITIS,175603,Prairie Falcon,
Least Bittern,,,,Least Bittern,Common,ITIS,174846,Least Bittern,
Virginia's Warbler,,,,Virginia's Warbler,Common,ITIS,950019,Virginia's Warbler,
Gilded Flicker,,,,Gilded Flicker,Common,ITIS,554081,Gilded Flicker,
Rosy-faced Lovebird,,,,Rosy-faced Lovebird,Common,ITIS,177626,Rosy-faced Lovebird,
Red-naped Sapsucker,,,,Red-naped Sapsucker,Common,ITIS,178211,Red-naped Sapsucker,
American Wigeon,,,,American Wigeon,Common,ITIS,175094,American Wigeon,
Wilson's Snipe,,,,Wilson's Snipe,Common,ITIS,726048,Wilson's Snipe,
Myrtle Warbler,,,,Myrtle Warbler,Common,ITIS,950046,Myrtle Warbler,
Vermilion Flycatcher,,,,Vermilion Flycatcher,Common,ITIS,178371,Vermilion Flycatcher,
Dusky Flycatcher,,,,Dusky Flycatcher,Common,ITIS,178346,Dusky Flycatcher,
American Avocet,,,,American Avocet,Common,ITIS,176721,American Avocet,
Hooded Oriole,,,,Hooded Oriole,Common,ITIS,179070,Hooded Oriole,
